district,crop_type,season,rainfall_mm,temperature_c,reservoir_level,population_density,irrigated_area_ha,groundwater_depth_m,soil_moisture_index,evapotranspiration_mm,industrial_usage_mcm,water_demand_mcm
Kallakurichi,Paddy (Kuruvai),Year-round,878.8,29.5,0.335,401.0,13985.0,31.3,0.576,12.0,1.91,1770.39
Tirupur,Mango,Rabi (Nov-Mar),595.6,26.8,0.356,874.0,8516.0,49.4,0.421,12.0,3.32,546.37
Erode,Vegetables,Rabi (Nov-Mar),599.6,26.4,0.781,521.0,1863.0,64.8,0.425,12.0,2.87,115.33
Villupuram,Mango,Rabi (Nov-Mar),732.2,26.1,0.371,392.0,11665.0,42.2,0.508,12.0,0.38,920.0
Karur,Tapioca,Rabi (Nov-Mar),672.5,26.4,0.288,404.0,6865.0,35.9,0.567,12.0,2.17,476.24
Chennai,Millets,Rabi (Nov-Mar),954.5,26.5,0.451,26620.0,10028.0,49.9,0.559,12.0,8.59,935.13
Sivaganga,Pulses,Rabi (Nov-Mar),538.9,29.7,0.251,365.0,7365.0,43.7,0.433,12.0,3.19,344.89
Salem,Banana,Rabi (Nov-Mar),630.1,29.9,0.371,657.0,9430.0,80.0,0.569,12.0,3.58,1358.6
Kanniyakumari,Onion,Zaid (Apr-May),496.3,40.1,0.37,1149.0,3612.0,55.8,0.422,12.0,2.03,333.16
Chengalpattu,Turmeric,Kharif (Jun-Oct),1842.9,32.7,0.887,1081.0,9620.0,56.4,0.95,12.0,1.73,641.34
Tenkasi,Paddy (Kuruvai),Zaid (Apr-May),303.2,35.6,0.641,392.0,13996.0,80.0,0.459,12.0,3.89,3276.69
Sivaganga,Paddy (Kuruvai),Kharif (Jun-Oct),1224.4,33.4,0.435,357.0,6143.0,21.1,0.724,12.0,4.86,773.42
Salem,Sugarcane,Year-round,985.2,27.6,0.473,668.0,11949.0,30.3,0.662,12.0,2.95,1975.61
Salem,Sugarcane,Zaid (Apr-May),415.1,38.2,0.306,647.0,12658.0,60.1,0.413,12.0,4.65,3782.67
Theni,Sugarcane,Year-round,805.9,27.2,0.265,375.0,11769.0,59.6,0.558,12.0,0.67,2065.38
Madurai,Tapioca,Kharif (Jun-Oct),1305.5,33.7,0.751,1075.0,12430.0,59.8,0.68,12.0,2.32,722.55
Thiruvarur,Groundnut,Kharif (Jun-Oct),1536.4,34.0,0.893,489.0,8085.0,48.9,0.815,12.0,3.28,366.08
Madurai,Vegetables,Zaid (Apr-May),430.2,36.3,0.6,1034.0,7224.0,55.8,0.405,12.0,5.18,600.87
Perambalur,Tapioca,Year-round,809.0,29.2,0.45,304.0,13828.0,33.4,0.483,12.0,0.92,889.88
Thiruvarur,Groundnut,Kharif (Jun-Oct),1567.2,34.7,0.894,455.0,6198.0,59.3,0.788,12.0,0.32,262.11
Salem,Millets,Kharif (Jun-Oct),1221.2,32.1,0.465,631.0,7033.0,27.7,0.738,12.0,1.33,229.52
Pudukkottai,Paddy (Samba),Year-round,621.7,29.0,0.327,342.0,12338.0,80.0,0.479,12.0,2.21,2518.73
Thanjavur,Sugarcane,Zaid (Apr-May),427.0,34.5,0.802,645.0,13610.0,55.6,0.34,12.0,2.18,3765.25
Namakkal,Cotton,Kharif (Jun-Oct),1053.7,32.8,0.528,566.0,7643.0,42.0,0.586,12.0,0.55,439.27
Tirupathur,Sugarcane,Year-round,939.0,29.4,0.685,487.0,1093.0,35.5,0.589,12.0,0.59,169.59
Chennai,Cotton,Kharif (Jun-Oct),2022.9,31.3,0.599,26528.0,5163.0,9.6,0.95,12.0,10.52,804.62
Namakkal,Mango,Year-round,765.2,31.5,0.493,551.0,5872.0,56.3,0.526,12.0,2.48,339.94
Chengalpattu,Pulses,Zaid (Apr-May),473.1,38.1,0.592,1131.0,8216.0,41.4,0.534,12.0,1.55,510.57
Dindigul,Maize,Kharif (Jun-Oct),1006.2,32.4,0.698,377.0,5649.0,60.6,0.53,12.0,3.8,260.95
Erode,Turmeric,Kharif (Jun-Oct),959.4,33.4,0.913,547.0,9310.0,39.3,0.516,12.0,4.83,598.15
Sivaganga,Tomato,Rabi (Nov-Mar),377.8,24.9,0.181,291.0,14744.0,43.6,0.46,12.0,4.41,1534.23
Tirunelveli,Groundnut,Kharif (Jun-Oct),1053.6,33.1,0.514,504.0,8258.0,50.1,0.63,12.0,4.99,375.39
Perambalur,Paddy (Kuruvai),Year-round,831.1,28.2,0.501,272.0,2738.0,54.8,0.494,12.0,1.76,328.41
Dindigul,Cotton,Zaid (Apr-May),128.0,36.8,0.568,395.0,2513.0,42.6,0.339,12.0,3.15,329.53
Salem,Pulses,Year-round,912.8,30.2,0.405,660.0,12707.0,34.4,0.683,12.0,1.02,447.91
Ariyalur,Cotton,Kharif (Jun-Oct),1312.3,31.5,0.694,296.0,9030.0,56.3,0.826,12.0,4.59,519.66
Nagapattinam,Paddy (Kuruvai),Kharif (Jun-Oct),1996.7,28.8,0.777,521.0,3821.0,34.9,0.95,12.0,3.81,413.31
Nagapattinam,Millets,Kharif (Jun-Oct),1956.5,33.7,0.83,573.0,11789.0,13.7,0.95,12.0,2.64,319.04
Kanchipuram,Millets,Zaid (Apr-May),410.8,37.1,0.727,1056.0,10973.0,76.4,0.409,12.0,3.03,630.21
Tirupur,Cotton,Year-round,607.7,31.3,0.457,894.0,2724.0,65.1,0.625,12.0,0.36,230.59
Kanniyakumari,Turmeric,Zaid (Apr-May),527.2,35.7,0.361,1129.0,11178.0,80.0,0.57,12.0,0.9,1659.18
Ariyalur,Mango,Rabi (Nov-Mar),663.5,23.5,0.595,245.0,3797.0,65.2,0.591,11.35,1.1,254.79
Tenkasi,Millets,Year-round,1305.5,30.1,0.938,373.0,11194.0,43.8,0.67,12.0,0.82,271.38
Ranipet,Coconut,Zaid (Apr-May),413.1,36.2,0.36,698.0,3584.0,65.1,0.436,12.0,3.0,564.35
Vellore,Paddy (Kuruvai),Year-round,1140.4,30.0,0.353,793.0,3475.0,32.7,0.673,12.0,3.06,435.18
Dharmapuri,Paddy (Kuruvai),Rabi (Nov-Mar),683.8,22.9,0.65,421.0,7707.0,73.4,0.513,11.04,0.5,1102.6
Krishnagiri,Pulses,Rabi (Nov-Mar),843.7,25.9,0.494,372.0,10054.0,29.6,0.543,12.0,3.47,399.87
Erode,Groundnut,Kharif (Jun-Oct),1078.0,29.6,0.914,577.0,1942.0,36.8,0.695,12.0,4.32,116.09
Ariyalur,Pulses,Zaid (Apr-May),189.4,37.5,0.479,319.0,12798.0,48.0,0.402,12.0,3.62,923.2
Chennai,Millets,Kharif (Jun-Oct),1860.7,34.6,0.55,26500.0,4387.0,42.1,0.95,12.0,10.13,652.91
Villupuram,Onion,Year-round,1092.3,28.0,0.391,423.0,3141.0,49.8,0.681,12.0,3.62,150.23
Tirupathur,Maize,Kharif (Jun-Oct),1273.7,32.0,0.647,510.0,2989.0,34.5,0.734,12.0,1.52,180.79
Tiruvannamalai,Maize,Kharif (Jun-Oct),1457.4,35.1,1.0,515.0,13759.0,38.9,0.811,12.0,0.39,549.25
Chennai,Sugarcane,Kharif (Jun-Oct),1845.3,29.0,0.617,26529.0,5657.0,47.6,0.944,12.0,10.34,1410.76
Salem,Turmeric,Kharif (Jun-Oct),1274.8,28.6,0.492,654.0,12773.0,72.0,0.711,12.0,2.57,916.23
Thoothukudi,Coconut,Year-round,597.2,28.7,0.748,538.0,4073.0,78.1,0.531,12.0,1.52,280.24
Namakkal,Mango,Kharif (Jun-Oct),1281.5,31.5,0.518,599.0,11117.0,63.7,0.733,12.0,4.43,607.51
Tirupathur,Paddy (Samba),Kharif (Jun-Oct),1368.4,32.3,0.729,489.0,1140.0,50.0,0.659,12.0,0.75,149.95
Erode,Paddy (Samba),Zaid (Apr-May),289.3,39.4,0.69,557.0,5127.0,80.0,0.398,12.0,1.32,1322.09
Mayiladuthurai,Sugarcane,Kharif (Jun-Oct),1477.7,34.9,0.935,560.0,12158.0,45.1,0.854,12.0,2.77,1759.68
Coimbatore,Maize,Zaid (Apr-May),194.3,40.1,0.73,736.0,7458.0,75.6,0.435,12.0,2.33,730.39
Salem,Paddy (Kuruvai),Rabi (Nov-Mar),629.3,27.6,0.327,631.0,10876.0,64.8,0.533,12.0,0.41,1794.82
Tiruchirappalli,Onion,Zaid (Apr-May),178.3,36.3,0.543,850.0,2922.0,80.0,0.326,12.0,2.82,304.84
Dindigul,Tomato,Rabi (Nov-Mar),526.7,27.0,0.651,423.0,3637.0,63.0,0.507,12.0,1.43,251.76
Namakkal,Turmeric,Zaid (Apr-May),508.4,39.3,0.375,573.0,9098.0,66.7,0.394,12.0,4.62,1024.43
Tirupathur,Paddy (Samba),Year-round,894.5,30.3,0.563,507.0,4580.0,41.0,0.6,12.0,4.96,658.87
Madurai,Turmeric,Year-round,932.4,33.7,0.793,1070.0,12063.0,62.6,0.593,12.0,3.81,821.53
Tirupattur,Millets,Zaid (Apr-May),233.1,37.3,0.658,456.0,11281.0,49.2,0.399,12.0,2.67,673.51
Namakkal,Turmeric,Zaid (Apr-May),258.7,38.4,0.332,603.0,6186.0,49.7,0.374,12.0,1.05,948.59
Tirupattur,Paddy (Samba),Year-round,1035.9,30.3,0.752,460.0,5515.0,58.4,0.617,12.0,3.93,742.71
Thanjavur,Mango,Zaid (Apr-May),167.2,37.2,0.616,643.0,12025.0,79.8,0.347,12.0,1.56,1393.41
Namakkal,Pulses,Year-round,702.3,32.3,0.419,539.0,11315.0,42.0,0.554,12.0,2.98,474.37
Tirupathur,Paddy (Kuruvai),Kharif (Jun-Oct),1127.5,33.4,0.66,514.0,9580.0,29.7,0.706,12.0,2.56,1090.59
Cuddalore,Maize,Kharif (Jun-Oct),1635.9,29.0,0.519,647.0,2832.0,48.1,0.89,12.0,2.36,181.68
Dharmapuri,Pulses,Zaid (Apr-May),254.2,39.5,0.389,361.0,11808.0,42.1,0.406,12.0,1.32,822.26
Pudukkottai,Millets,Year-round,782.2,32.4,0.372,295.0,14148.0,33.3,0.612,12.0,0.5,451.2
Coimbatore,Groundnut,Zaid (Apr-May),296.0,36.0,0.787,763.0,2301.0,80.0,0.405,12.0,3.29,210.02
Tiruvannamalai,Turmeric,Year-round,1071.6,32.1,0.928,529.0,1662.0,72.8,0.723,12.0,2.42,121.46
Cuddalore,Tomato,Rabi (Nov-Mar),1049.6,24.9,0.344,657.0,7724.0,54.6,0.706,11.9,5.18,520.1
Madurai,Onion,Rabi (Nov-Mar),485.4,23.3,0.63,1041.0,12687.0,44.9,0.457,11.86,4.54,842.81
Perambalur,Onion,Year-round,840.6,35.9,0.538,241.0,6235.0,61.5,0.584,12.0,3.35,275.15
Tiruvannamalai,Sugarcane,Kharif (Jun-Oct),1499.7,33.5,0.976,523.0,6377.0,48.1,0.731,12.0,2.72,897.25
Cuddalore,Turmeric,Zaid (Apr-May),363.6,34.5,0.343,627.0,14556.0,51.9,0.365,12.0,4.06,2228.8
Tirupattur,Tapioca,Zaid (Apr-May),160.5,33.8,0.605,489.0,12519.0,65.5,0.386,12.0,3.68,1673.11
Kanniyakumari,Millets,Kharif (Jun-Oct),2212.1,32.4,0.634,1155.0,13031.0,31.5,0.95,12.0,5.28,394.11
Thoothukudi,Millets,Kharif (Jun-Oct),829.5,31.6,0.685,497.0,7855.0,30.7,0.583,12.0,4.49,245.88
Kallakurichi,Onion,Rabi (Nov-Mar),468.3,23.9,0.424,386.0,14564.0,40.8,0.403,11.6,4.46,1116.07
Villupuram,Millets,Rabi (Nov-Mar),761.8,27.3,0.321,408.0,13037.0,72.0,0.564,12.0,4.72,562.35
Cuddalore,Cotton,Year-round,1261.3,30.6,0.391,668.0,11845.0,51.0,0.708,12.0,2.22,736.56
Tiruchirappalli,Groundnut,Zaid (Apr-May),296.8,37.4,0.615,822.0,12359.0,45.7,0.39,12.0,1.87,1035.1
Ariyalur,Sugarcane,Year-round,768.5,32.2,0.748,213.0,713.0,61.9,0.645,12.0,3.86,107.34
Thoothukudi,Sugarcane,Kharif (Jun-Oct),844.7,31.1,0.799,483.0,5448.0,49.0,0.654,12.0,2.81,842.76
Tirunelveli,Pulses,Rabi (Nov-Mar),500.1,29.6,0.356,471.0,13502.0,38.9,0.53,12.0,2.04,574.32
Tiruchirappalli,Cotton,Kharif (Jun-Oct),1101.7,28.6,0.76,778.0,4631.0,39.9,0.676,12.0,1.79,289.5
Kanchipuram,Banana,Rabi (Nov-Mar),971.8,25.7,0.742,1040.0,8115.0,64.6,0.652,12.0,1.59,992.9
Tirupattur,Banana,Year-round,988.2,30.5,0.679,549.0,9106.0,68.9,0.576,12.0,1.97,914.47
Chengalpattu,Tomato,Kharif (Jun-Oct),1911.2,30.2,0.908,1115.0,12238.0,48.9,0.95,12.0,1.1,601.64
Tenkasi,Onion,Rabi (Nov-Mar),1037.4,24.9,0.758,384.0,3839.0,35.6,0.579,12.0,3.28,179.02
Dharmapuri,Sugarcane,Rabi (Nov-Mar),541.0,24.9,0.613,354.0,4475.0,38.5,0.562,12.0,1.24,1085.77
Tiruchirappalli,Tapioca,Kharif (Jun-Oct),1201.5,32.4,0.846,763.0,4432.0,53.6,0.646,12.0,2.51,239.97
Tenkasi,Paddy (Samba),Zaid (Apr-May),253.6,37.9,0.686,429.0,3042.0,77.9,0.388,12.0,0.61,873.14
Karur,Onion,Kharif (Jun-Oct),863.2,30.5,0.415,448.0,10238.0,32.8,0.628,12.0,4.46,459.05
Mayiladuthurai,Tapioca,Rabi (Nov-Mar),1037.3,25.2,0.782,582.0,5522.0,37.4,0.569,12.0,1.57,344.99
Chengalpattu,Banana,Rabi (Nov-Mar),1011.9,26.5,0.723,1102.0,12846.0,36.2,0.615,12.0,4.72,1595.26
Karur,Maize,Year-round,775.7,32.0,0.39,445.0,8840.0,55.8,0.565,12.0,0.83,431.05
Karur,Groundnut,Rabi (Nov-Mar),525.8,23.9,0.285,415.0,5829.0,38.2,0.478,12.0,4.95,361.69
Cuddalore,Banana,Rabi (Nov-Mar),823.3,25.1,0.395,588.0,6104.0,59.6,0.637,12.0,2.6,923.41
Virudhunagar,Turmeric,Zaid (Apr-May),160.9,37.2,0.495,520.0,7887.0,80.0,0.375,12.0,1.69,1216.31
Kanniyakumari,Banana,Zaid (Apr-May),663.1,37.6,0.297,1134.0,12499.0,72.1,0.431,12.0,0.44,2477.11
Nagapattinam,Cotton,Rabi (Nov-Mar),830.5,22.9,0.687,574.0,12597.0,63.0,0.571,11.17,1.5,1000.95
Chengalpattu,Pulses,Year-round,1527.5,31.1,0.778,1135.0,9404.0,61.7,0.836,12.0,1.01,301.43
Namakkal,Turmeric,Kharif (Jun-Oct),1174.2,31.8,0.54,572.0,11827.0,66.9,0.57,12.0,2.42,856.01
Kallakurichi,Turmeric,Kharif (Jun-Oct),1379.4,30.6,0.574,428.0,1104.0,22.1,0.767,12.0,0.48,88.84
Ranipet,Paddy (Kuruvai),Kharif (Jun-Oct),1345.3,32.5,0.574,719.0,14576.0,69.9,0.718,12.0,2.28,1706.68
Erode,Vegetables,Rabi (Nov-Mar),575.1,28.6,0.794,518.0,2260.0,67.3,0.467,12.0,2.81,170.35
Dindigul,Cotton,Year-round,916.4,31.5,0.844,405.0,10019.0,33.7,0.633,12.0,1.24,521.82
Tirupathur,Paddy (Samba),Rabi (Nov-Mar),472.7,25.7,0.494,499.0,684.0,80.0,0.56,12.0,4.55,190.34
Tiruvannamalai,Coconut,Zaid (Apr-May),367.0,40.4,0.715,541.0,11063.0,80.0,0.37,12.0,2.89,1550.25
Tirupur,Paddy (Samba),Zaid (Apr-May),172.9,37.9,0.206,867.0,11494.0,80.0,0.269,12.0,1.02,3798.45
Sivaganga,Maize,Year-round,903.2,29.7,0.387,329.0,635.0,40.5,0.591,12.0,4.1,46.32
Tirupur,Tomato,Rabi (Nov-Mar),413.0,24.8,0.39,892.0,11534.0,38.7,0.438,11.96,5.06,1073.4
Perambalur,Tomato,Year-round,743.7,28.4,0.424,190.0,10970.0,78.9,0.463,12.0,2.12,602.97
Perambalur,Paddy (Kuruvai),Zaid (Apr-May),335.0,40.2,0.362,237.0,3769.0,77.0,0.427,12.0,3.07,816.64
Krishnagiri,Millets,Year-round,1099.4,32.2,0.625,338.0,10761.0,66.4,0.528,12.0,0.84,300.39
Dharmapuri,Millets,Year-round,800.7,31.8,0.622,311.0,9745.0,56.3,0.54,12.0,5.05,297.78
Thanjavur,Maize,Kharif (Jun-Oct),1568.5,33.0,0.959,654.0,8994.0,45.9,0.844,12.0,4.11,387.16
Kanniyakumari,Banana,Kharif (Jun-Oct),2135.9,31.8,0.584,1196.0,1223.0,52.0,0.95,12.0,0.39,149.79
Virudhunagar,Banana,Year-round,674.5,31.8,0.656,494.0,14635.0,51.9,0.583,12.0,1.49,1469.46
Perambalur,Paddy (Samba),Rabi (Nov-Mar),532.5,27.6,0.314,285.0,1753.0,47.4,0.441,12.0,0.73,392.17
Vellore,Cotton,Rabi (Nov-Mar),774.0,25.8,0.31,858.0,14703.0,37.5,0.516,12.0,1.95,1178.97
Tiruvannamalai,Coconut,Kharif (Jun-Oct),1389.5,30.4,0.923,551.0,8089.0,23.5,0.821,12.0,0.5,575.85
Villupuram,Paddy (Kuruvai),Kharif (Jun-Oct),1433.0,31.5,0.472,459.0,2544.0,52.9,0.768,12.0,4.45,338.01
Tiruvannamalai,Turmeric,Zaid (Apr-May),279.1,38.1,0.808,526.0,11901.0,50.5,0.39,12.0,1.81,1584.92
Villupuram,Millets,Year-round,1128.6,29.0,0.347,403.0,14226.0,53.2,0.695,12.0,2.88,441.87
Thiruvarur,Mango,Year-round,1044.2,32.4,0.774,409.0,1854.0,48.4,0.596,12.0,0.59,89.23
Nilgiris,Coconut,Year-round,2424.5,27.7,0.546,236.0,13506.0,25.1,0.95,12.0,0.9,1023.0
Tirupur,Paddy (Samba),Zaid (Apr-May),328.8,37.0,0.28,905.0,2706.0,62.6,0.448,12.0,4.68,754.98
Tiruvannamalai,Tomato,Rabi (Nov-Mar),615.4,24.2,0.803,580.0,14958.0,80.0,0.462,12.0,3.61,1120.45
Salem,Sugarcane,Kharif (Jun-Oct),1304.7,30.0,0.421,653.0,5054.0,32.9,0.772,12.0,2.82,858.55
Ariyalur,Onion,Year-round,919.5,31.7,0.648,273.0,11225.0,37.1,0.549,12.0,2.97,474.41
Sivaganga,Millets,Zaid (Apr-May),289.5,38.6,0.155,331.0,10452.0,43.0,0.456,12.0,1.24,642.49
Erode,Maize,Zaid (Apr-May),222.1,37.3,0.646,569.0,5725.0,44.3,0.349,12.0,3.97,556.94
Thoothukudi,Sugarcane,Year-round,624.0,31.7,0.608,492.0,8626.0,38.6,0.541,12.0,4.47,1339.62
Erode,Pulses,Zaid (Apr-May),344.6,37.2,0.687,556.0,6611.0,39.6,0.442,12.0,4.36,377.54
Thoothukudi,Tomato,Year-round,612.3,31.6,0.638,495.0,1900.0,46.1,0.596,12.0,1.65,107.18
Thanjavur,Cotton,Zaid (Apr-May),389.6,36.7,0.698,684.0,13220.0,80.0,0.37,12.0,5.15,1420.98
Sivaganga,Onion,Zaid (Apr-May),420.2,36.6,0.276,422.0,4158.0,48.7,0.483,12.0,2.75,314.33
Thoothukudi,Banana,Zaid (Apr-May),232.3,34.4,0.672,463.0,6802.0,80.0,0.422,12.0,2.36,1284.13
Perambalur,Coconut,Kharif (Jun-Oct),1197.2,34.2,0.652,242.0,11908.0,74.4,0.674,12.0,2.44,882.54
Chennai,Turmeric,Zaid (Apr-May),492.5,39.6,0.384,26559.0,3963.0,61.0,0.393,12.0,11.08,1073.5
Perambalur,Turmeric,Kharif (Jun-Oct),976.0,32.0,0.515,286.0,8795.0,53.7,0.596,12.0,2.07,631.83
Kanniyakumari,Paddy (Kuruvai),Kharif (Jun-Oct),2250.6,32.4,0.631,1199.0,930.0,37.1,0.95,12.0,5.01,126.33
Krishnagiri,Onion,Year-round,1010.1,31.0,0.556,310.0,12445.0,77.3,0.681,12.0,1.38,527.54
Kallakurichi,Paddy (Kuruvai),Zaid (Apr-May),269.8,40.2,0.358,386.0,10109.0,44.7,0.447,12.0,4.62,2514.09
Coimbatore,Millets,Kharif (Jun-Oct),908.3,34.8,0.875,749.0,9723.0,77.1,0.604,12.0,3.84,274.77
Tirupur,Cotton,Rabi (Nov-Mar),627.6,26.6,0.393,953.0,7008.0,37.1,0.549,12.0,4.33,488.4
Ranipet,Coconut,Rabi (Nov-Mar),651.2,27.7,0.462,775.0,4493.0,48.8,0.48,12.0,4.22,577.64
Madurai,Sugarcane,Year-round,969.7,29.8,0.79,1042.0,8124.0,53.7,0.646,12.0,0.54,1235.24
Dharmapuri,Onion,Zaid (Apr-May),115.7,37.6,0.411,286.0,10318.0,76.0,0.298,12.0,5.03,1029.77
Chennai,Millets,Year-round,1310.8,29.8,0.517,26548.0,13922.0,41.6,0.657,12.0,8.7,917.16
Kanniyakumari,Mango,Year-round,1597.1,29.3,0.517,1204.0,14768.0,28.9,0.851,12.0,2.29,797.63
Villupuram,Banana,Kharif (Jun-Oct),1554.7,35.1,0.407,432.0,12588.0,38.1,0.765,12.0,1.1,1353.06
Ariyalur,Onion,Zaid (Apr-May),232.2,39.5,0.42,246.0,6939.0,74.8,0.389,12.0,5.04,626.86
Dharmapuri,Turmeric,Rabi (Nov-Mar),821.9,25.1,0.644,299.0,1072.0,54.7,0.498,12.0,4.91,91.46
Tiruvannamalai,Groundnut,Kharif (Jun-Oct),1437.4,35.3,0.986,550.0,7268.0,18.1,0.759,12.0,3.94,297.97
Tirunelveli,Millets,Zaid (Apr-May),79.2,39.3,0.176,457.0,6105.0,71.5,0.462,12.0,4.47,462.14
Tiruchirappalli,Maize,Kharif (Jun-Oct),1184.8,32.0,0.802,739.0,3986.0,38.5,0.743,12.0,4.87,206.82
Villupuram,Tomato,Zaid (Apr-May),268.2,36.1,0.253,383.0,12164.0,55.0,0.437,12.0,1.59,1526.1
Kanniyakumari,Tapioca,Year-round,1657.3,30.3,0.499,1150.0,6287.0,51.6,0.868,12.0,0.47,395.09
Thanjavur,Sugarcane,Year-round,1108.5,30.1,0.866,698.0,4844.0,27.1,0.742,12.0,3.74,697.04
Mayiladuthurai,Maize,Zaid (Apr-May),299.0,37.6,0.715,609.0,3777.0,74.2,0.299,12.0,1.97,377.9
Tirupathur,Groundnut,Zaid (Apr-May),270.6,42.4,0.484,461.0,9559.0,43.5,0.335,12.0,3.71,894.24
Villupuram,Pulses,Zaid (Apr-May),370.4,41.1,0.216,441.0,4437.0,59.7,0.464,12.0,3.1,328.99
Namakkal,Maize,Year-round,916.0,28.7,0.455,558.0,5723.0,41.6,0.582,12.0,4.11,295.44
Tirunelveli,Vegetables,Year-round,725.6,34.0,0.414,526.0,10706.0,30.7,0.475,12.0,3.49,572.83
Thiruvarur,Turmeric,Year-round,1130.6,34.5,0.775,463.0,14992.0,28.2,0.556,12.0,4.47,986.17
Cuddalore,Sugarcane,Year-round,1245.1,27.3,0.438,687.0,5882.0,67.9,0.684,12.0,4.19,1011.43
Kallakurichi,Tapioca,Kharif (Jun-Oct),1340.6,34.5,0.523,392.0,5077.0,53.7,0.824,12.0,1.11,315.66
Tenkasi,Tapioca,Kharif (Jun-Oct),1728.3,33.2,0.993,384.0,10477.0,23.7,0.881,12.0,0.27,564.57
Madurai,Millets,Rabi (Nov-Mar),788.0,26.0,0.764,1044.0,14471.0,57.8,0.504,12.0,4.18,416.17
Tiruvannamalai,Tomato,Rabi (Nov-Mar),823.8,26.4,0.835,574.0,8010.0,47.7,0.537,12.0,5.04,445.7
Thoothukudi,Vegetables,Zaid (Apr-May),209.7,36.1,0.588,464.0,2709.0,80.0,0.386,12.0,3.16,264.68
Chengalpattu,Banana,Rabi (Nov-Mar),941.6,26.9,0.817,1127.0,11765.0,37.4,0.713,12.0,4.82,1536.47
Tirupathur,Mango,Zaid (Apr-May),181.1,39.0,0.426,534.0,6128.0,78.5,0.32,12.0,4.75,716.49
Virudhunagar,Coconut,Rabi (Nov-Mar),343.1,25.7,0.508,516.0,4007.0,65.7,0.444,12.0,1.53,540.5
Villupuram,Pulses,Rabi (Nov-Mar),665.4,30.6,0.314,377.0,13027.0,58.2,0.537,12.0,0.8,674.88
Virudhunagar,Onion,Year-round,714.8,30.9,0.589,576.0,1560.0,64.9,0.47,12.0,3.96,79.03
Kanchipuram,Mango,Year-round,1241.7,29.5,0.843,1023.0,11830.0,73.0,0.742,12.0,3.32,583.46
Nilgiris,Vegetables,Year-round,2543.7,27.5,0.643,199.0,12797.0,34.2,0.95,12.0,0.21,629.97
Madurai,Onion,Kharif (Jun-Oct),1189.4,26.2,0.85,1112.0,9714.0,26.2,0.611,12.0,3.44,364.77
Chennai,Paddy (Samba),Kharif (Jun-Oct),2088.8,30.1,0.624,26541.0,14282.0,35.2,0.95,12.0,10.55,2462.52
Chengalpattu,Sugarcane,Zaid (Apr-May),387.6,40.8,0.573,1086.0,12436.0,80.0,0.358,12.0,1.6,4039.61
Nilgiris,Pulses,Kharif (Jun-Oct),3370.0,30.1,0.608,217.0,1878.0,23.1,0.95,12.0,4.19,85.14
Mayiladuthurai,Coconut,Kharif (Jun-Oct),1537.7,31.0,0.896,615.0,2354.0,56.4,0.779,12.0,5.05,166.77
Perambalur,Sugarcane,Year-round,698.1,31.6,0.515,245.0,4892.0,48.9,0.589,12.0,0.98,813.82
Tirupattur,Maize,Year-round,902.2,33.5,0.846,510.0,1638.0,56.9,0.559,12.0,4.06,92.83
Dindigul,Groundnut,Kharif (Jun-Oct),1128.4,31.7,0.831,359.0,8621.0,65.4,0.693,12.0,4.97,374.18
